city,timestamp,temperature,season
New York,2010-01-01,2.221117491376833,winter
New York,2010-01-02,-4.772211889584664,winter
New York,2010-01-03,3.551631076648877,winter
New York,2010-01-04,-3.421670736750574,winter
New York,2010-01-05,1.1205923066340726,winter
New York,2010-01-06,1.2635264366948125,winter
New York,2010-01-07,5.785737145423048,winter
New York,2010-01-08,-1.4036750110415297,winter
New York,2010-01-09,-4.981652370889219,winter
New York,2010-01-10,-5.435350868353403,winter
New York,2010-01-11,0.8198207343073903,winter
New York,2010-01-12,5.970079218702287,winter
New York,2010-01-13,1.2572217837542001,winter
New York,2010-01-14,9.799591639783063,winter
New York,2010-01-15,6.060067599122801,winter
New York,2010-01-16,3.690588599743651,winter
New York,2010-01-17,4.256338337136535,winter
New York,2010-01-18,-0.7514894647424857,winter
New York,2010-01-19,-5.777423548071901,winter
New York,2010-01-20,-9.459809783202939,winter
New York,2010-01-21,-5.102716864180135,winter
New York,2010-01-22,17.240112276977882,winter
New York,2010-01-23,-6.150755067883145,winter
New York,2010-01-24,8.685496757520234,winter
New York,2010-01-25,2.028709684346652,winter
New York,2010-01-26,-4.850304479624066,winter
New York,2010-01-27,0.5909025635217202,winter
New York,2010-01-28,-0.7428034390021687,winter
New York,2010-01-29,-1.194552429740494,winter
New York,2010-01-30,-6.369281605271587,winter
New York,2010-01-31,-9.442122936617455,winter
New York,2010-02-01,-6.34377217860758,winter
New York,2010-02-02,8.345569623071405,winter
New York,2010-02-03,-5.190721554489803,winter
New York,2010-02-04,-5.886087307831439,winter
New York,2010-02-05,-3.3185133099849677,winter
New York,2010-02-06,-2.268226745583804,winter
New York,2010-02-07,1.7543069823955064,winter
New York,2010-02-08,6.367452763369499,winter
New York,2010-02-09,9.087813686304814,winter
New York,2010-02-10,-5.874396961016673,winter
New York,2010-02-11,2.342222022193626,winter
New York,2010-02-12,7.211809184385397,winter
New York,2010-02-13,1.0167822271250913,winter
New York,2010-02-14,-0.8497564069648701,winter
New York,2010-02-15,-3.808116684060746,winter
New York,2010-02-16,0.2131250841984227,winter
New York,2010-02-17,-0.4841710477793614,winter
New York,2010-02-18,-2.140095544983491,winter
New York,2010-02-19,7.884252674638372,winter
New York,2010-02-20,0.37008041278956105,winter
New York,2010-02-21,4.912774713020788,winter
New York,2010-02-22,4.070058707887261,winter
New York,2010-02-23,-1.645659668313721,winter
New York,2010-02-24,-6.964923414566924,winter
New York,2010-02-25,-2.700625894325256,winter
New York,2010-02-26,5.647461189836322,winter
New York,2010-02-27,7.959004412550078,winter
New York,2010-02-28,-3.8700793138191476,winter
